Título,Autores,Precio,Disponibilidad,Rating,Categoría,Stock,URL
A Spy's Devotion (The Regency Spies of London #1),['Melanie Dickerson'],Â£16.97,In stock,Five,Historical Fiction,In stock (1 available),https://books.toscrape.com/catalogue/a-spys-devotion-the-regency-spies-of-london-1_3/index.html
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),"[""Bryan Lee O'Malley""]",Â£52.29,In stock,Five,Sequential Art,In stock (19 available),https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),['CLAMP'],Â£16.28,In stock,One,Sequential Art,In stock (16 available),https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html
This One Summer,['Mariko Tamaki'],Â£19.49,In stock,Four,Sequential Art,In stock (16 available),https://books.toscrape.com/catalogue/this-one-summer_947/index.html
The Nameless City (The Nameless City #1),['Michael Scott'],Â£38.16,In stock,Four,Sequential Art,In stock (16 available),https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
"Saga, Volume 5 (Saga (Collected Editions) #5)",['Carlo Zen'],Â£51.04,In stock,Two,Sequential Art,In stock (16 available),https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)","['Kurtis J. Wiebe', 'Ryan Ferrier']",Â£50.40,In stock,Three,Sequential Art,In stock (16 available),https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",['Akiko Higashimura'],Â£13.61,In stock,Five,Sequential Art,In stock (16 available),https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
"Pop Gun War, Volume 1: Gift",['Farel Dalrymple'],Â£18.97,In stock,One,Sequential Art,In stock (16 available),https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html
Patience,['Antonio Skármeta'],Â£10.16,In stock,Three,Sequential Art,In stock (16 available),https://books.toscrape.com/catalogue/patience_916/index.html
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",['Robert Kirkman'],Â£15.44,In stock,Four,Sequential Art,In stock (16 available),https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html
orange: The Complete Collection 1 (orange: The Complete Collection #1),['US Department of Defense'],Â£48.41,In stock,One,Sequential Art,In stock (16 available),https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)","['Noelle Stevenson', 'Shannon Watters']",Â£46.91,In stock,Two,Sequential Art,In stock (16 available),https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)","['Noelle Stevenson', 'Grace Ellis']",Â£45.61,In stock,Three,Sequential Art,In stock (16 available),https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),"['Noelle Stevenson', 'ND Stevenson', 'Grace Ellis', 'Shannon Watters', 'Brooke A. Allen']",Â£19.92,In stock,Two,Sequential Art,In stock (16 available),https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",['Skottie Young'],Â£29.17,In stock,Two,Sequential Art,In stock (16 available),https://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html
I am a Hero Omnibus Volume 1,['Kengo Hanzawa'],Â£54.63,In stock,Three,Sequential Art,In stock (16 available),https://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html
"Giant Days, Vol. 2 (Giant Days #5-8)",['John Allison'],Â£22.11,In stock,Two,Sequential Art,In stock (16 available),https://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html
Danganronpa Volume 1,['Spike Chunsoft'],Â£51.99,In stock,Four,Sequential Art,In stock (16 available),https://books.toscrape.com/catalogue/danganronpa-volume-1_889/index.html
"Codename Baboushka, Volume 1: The Conclave of Death",['Antony Johnston'],Â£36.72,In stock,Four,Sequential Art,In stock (16 available),https://books.toscrape.com/catalogue/codename-baboushka-volume-1-the-conclave-of-death_887/index.html
Camp Midnight,['Steven T. Seagle'],Â£17.08,In stock,Four,Sequential Art,In stock (16 available),https://books.toscrape.com/catalogue/camp-midnight_886/index.html
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",['Kelly Sue DeConnick'],Â£37.92,In stock,Two,Sequential Art,In stock (16 available),https://books.toscrape.com/catalogue/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html
The Shadow Hero (The Shadow Hero),['Gene Luen Yang'],Â£33.14,In stock,One,Sequential Art,In stock (15 available),https://books.toscrape.com/catalogue/the-shadow-hero-the-shadow-hero_860/index.html
"Fables, Vol. 1: Legends in Exile (Fables #1)",['Bill Willingham'],Â£41.62,In stock,Four,Sequential Art,In stock (15 available),https://books.toscrape.com/catalogue/fables-vol-1-legends-in-exile-fables-1_806/index.html
Batman: The Long Halloween (Batman),['Jeph Loeb'],Â£36.50,In stock,Two,Sequential Art,In stock (15 available),https://books.toscrape.com/catalogue/batman-the-long-halloween-batman_793/index.html
Batman: The Dark Knight Returns (Batman),"[""Dennis O'Neil"", 'Leah Wilson']",Â£15.38,In stock,Five,Sequential Art,In stock (15 available),https://books.toscrape.com/catalogue/batman-the-dark-knight-returns-batman_792/index.html
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",['Greg Rucka'],Â£37.34,In stock,Four,Sequential Art,In stock (14 available),https://books.toscrape.com/catalogue/wonder-woman-earth-one-volume-one-wonder-woman-earth-one-1_783/index.html
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",['Lee Bermejo'],Â£53.90,In stock,One,Sequential Art,In stock (14 available),https://books.toscrape.com/catalogue/we-are-robin-vol-1-the-vigilante-business-we-are-robin-1_778/index.html
Through the Woods,['Agnes Rous Howell'],Â£25.38,In stock,Two,Sequential Art,In stock (14 available),https://books.toscrape.com/catalogue/through-the-woods_772/index.html
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),['Roy Schwartz'],Â£11.89,In stock,Five,Sequential Art,In stock (14 available),https://books.toscrape.com/catalogue/superman-vol-1-before-truth-superman-by-gene-luen-yang-1_739/index.html
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",['Go Ikeyamada'],Â£35.43,In stock,Four,Sequential Art,In stock (14 available),https://books.toscrape.com/catalogue/so-cute-it-hurts-vol-6-so-cute-it-hurts-6_734/index.html
Robin War,['Tom King'],Â£47.82,In stock,Three,Sequential Art,In stock (14 available),https://books.toscrape.com/catalogue/robin-war_730/index.html
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",['Scott Lobdell'],Â£25.48,In stock,Two,Sequential Art,In stock (14 available),https://books.toscrape.com/catalogue/red-hoodarsenal-vol-1-open-for-business-red-hoodarsenal-1_729/index.html
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",['Masashi Kishimoto'],Â£38.39,In stock,Two,Sequential Art,In stock (14 available),https://books.toscrape.com/catalogue/naruto-3-in-1-edition-vol-14-includes-vols-40-41-42-naruto-omnibus-14_721/index.html
Lowriders to the Center of the Earth (Lowriders in Space #2),['Cathy Camper'],Â£51.51,In stock,Two,Sequential Art,In stock (14 available),https://books.toscrape.com/catalogue/lowriders-to-the-center-of-the-earth-lowriders-in-space-2_712/index.html
El Deafo,['Ricardo Hormazábal'],Â£57.62,In stock,Five,Sequential Art,In stock (14 available),https://books.toscrape.com/catalogue/el-deafo_691/index.html
Batman: Europa,['Brian Azzarello'],Â£32.01,In stock,Two,Sequential Art,In stock (14 available),https://books.toscrape.com/catalogue/batman-europa_668/index.html
Art Ops Vol. 1,['Reki Kawahara'],Â£48.80,In stock,Three,Sequential Art,In stock (14 available),https://books.toscrape.com/catalogue/art-ops-vol-1_664/index.html
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",['Sarah Andersen'],Â£10.90,In stock,Two,Sequential Art,In stock (14 available),https://books.toscrape.com/catalogue/adulthood-is-a-myth-a-sarahs-scribbles-collection_659/index.html
"Fruits Basket, Vol. 9 (Fruits Basket #9)",['Natsuki Takaya'],Â£33.95,In stock,Four,Sequential Art,In stock (9 available),https://books.toscrape.com/catalogue/fruits-basket-vol-9-fruits-basket-9_563/index.html
Roller Girl,['Victoria Jamieson'],Â£14.10,In stock,Five,Sequential Art,In stock (8 available),https://books.toscrape.com/catalogue/roller-girl_540/index.html
"Fruits Basket, Vol. 7 (Fruits Basket #7)",['Natsuki Takaya'],Â£19.57,In stock,One,Sequential Art,In stock (7 available),https://books.toscrape.com/catalogue/fruits-basket-vol-7-fruits-basket-7_468/index.html
"Fruits Basket, Vol. 6 (Fruits Basket #6)",['Natsuki Takaya'],Â£20.96,In stock,Four,Sequential Art,In stock (6 available),https://books.toscrape.com/catalogue/fruits-basket-vol-6-fruits-basket-6_427/index.html
"Death Note, Vol. 6: Give-and-Take (Death Note #6)","['Tsugumi Ohba', 'Tsugumi Ōba', 'Takeshi Obata']",Â£36.39,In stock,Three,Sequential Art,In stock (6 available),https://books.toscrape.com/catalogue/death-note-vol-6-give-and-take-death-note-6_425/index.html
"Fruits Basket, Vol. 5 (Fruits Basket #5)",['Natsuki Takaya'],Â£16.33,In stock,One,Sequential Art,In stock (5 available),https://books.toscrape.com/catalogue/fruits-basket-vol-5-fruits-basket-5_376/index.html
"Death Note, Vol. 5: Whiteout (Death Note #5)",['Tsugumi Ōba'],Â£52.41,In stock,One,Sequential Art,In stock (5 available),https://books.toscrape.com/catalogue/death-note-vol-5-whiteout-death-note-5_368/index.html
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",['Aya Shouoto'],Â£27.88,In stock,Two,Sequential Art,In stock (4 available),https://books.toscrape.com/catalogue/the-demon-prince-of-momochi-house-vol-4-the-demon-prince-of-momochi-house-4_344/index.html
"Fruits Basket, Vol. 4 (Fruits Basket #4)",['Natsuki Takaya'],Â£50.44,In stock,Four,Sequential Art,In stock (4 available),https://books.toscrape.com/catalogue/fruits-basket-vol-4-fruits-basket-4_321/index.html
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",['Kieron Gillen'],Â£14.41,In stock,Three,Sequential Art,In stock (3 available),https://books.toscrape.com/catalogue/the-wicked-the-divine-vol-3-commercial-suicide-the-wicked-the-divine_287/index.html
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",['Stephen Rauch'],Â£55.55,In stock,Five,Sequential Art,In stock (3 available),https://books.toscrape.com/catalogue/the-sandman-vol-3-dream-country-the-sandman-volumes-3_279/index.html
"Saga, Volume 3 (Saga (Collected Editions) #3)",['A. G. Howard'],Â£21.57,In stock,Five,Sequential Art,In stock (3 available),https://books.toscrape.com/catalogue/saga-volume-3-saga-collected-editions-3_216/index.html
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),['Marie Lu'],Â£43.63,In stock,Three,Sequential Art,In stock (3 available),https://books.toscrape.com/catalogue/prodigy-the-graphic-novel-legend-the-graphic-novel-2_207/index.html
Persepolis: The Story of a Childhood (Persepolis #1-2),"['Gale, Cengage Learning']",Â£39.13,In stock,One,Sequential Art,In stock (3 available),https://books.toscrape.com/catalogue/persepolis-the-story-of-a-childhood-persepolis-1-2_206/index.html
Original Fake,['Ricard Tain'],Â£31.45,In stock,Three,Sequential Art,In stock (3 available),https://books.toscrape.com/catalogue/original-fake_203/index.html
"Grayson, Vol 3: Nemesis (Grayson #3)","['Tim Seeley', 'Tom King']",Â£42.72,In stock,One,Sequential Art,In stock (3 available),https://books.toscrape.com/catalogue/grayson-vol-3-nemesis-grayson-3_164/index.html
"Fruits Basket, Vol. 3 (Fruits Basket #3)",['Natsuki Takaya'],Â£45.17,In stock,Two,Sequential Art,In stock (3 available),https://books.toscrape.com/catalogue/fruits-basket-vol-3-fruits-basket-3_159/index.html
"Black Butler, Vol. 1 (Black Butler #1)",['Yana Toboso'],Â£49.31,In stock,One,Sequential Art,In stock (3 available),https://books.toscrape.com/catalogue/black-butler-vol-1-black-butler-1_130/index.html
Awkward,['Ty Tashiro'],Â£38.02,In stock,Two,Sequential Art,In stock (3 available),https://books.toscrape.com/catalogue/awkward_124/index.html
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",['Neil Gaiman'],Â£54.81,In stock,One,Sequential Art,In stock (2 available),https://books.toscrape.com/catalogue/the-sandman-vol-2-the-dolls-house-the-sandman-volumes-2_110/index.html
"Saga, Volume 2 (Saga (Collected Editions) #2)",['A. G. Howard'],Â£11.75,In stock,Three,Sequential Art,In stock (2 available),https://books.toscrape.com/catalogue/saga-volume-2-saga-collected-editions-2_107/index.html
"Fruits Basket, Vol. 2 (Fruits Basket #2)",['Natsuki Takaya'],Â£11.64,In stock,Five,Sequential Art,In stock (2 available),https://books.toscrape.com/catalogue/fruits-basket-vol-2-fruits-basket-2_100/index.html
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)","['Brian K. Vaughan', 'Pia Guerra', 'Jose Marzan']",Â£18.51,In stock,Four,Sequential Art,In stock (1 available),https://books.toscrape.com/catalogue/y-the-last-man-vol-1-unmanned-y-the-last-man-1_98/index.html
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",['Kieron Gillen'],Â£36.52,In stock,Two,Sequential Art,In stock (1 available),https://books.toscrape.com/catalogue/the-wicked-the-divine-vol-1-the-faust-act-the-wicked-the-divine_86/index.html
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",['Stephen Rauch'],Â£54.12,In stock,Three,Sequential Art,In stock (1 available),https://books.toscrape.com/catalogue/the-sandman-vol-1-preludes-and-nocturnes-the-sandman-volumes-1_79/index.html
The Complete Maus (Maus #1-2),['Art Spiegelman'],Â£10.64,In stock,Three,Sequential Art,In stock (1 available),https://books.toscrape.com/catalogue/the-complete-maus-maus-1-2_62/index.html
"Skip Beat!, Vol. 01 (Skip Beat! #1)",['Misaki Takamatsu'],Â£42.12,In stock,Three,Sequential Art,In stock (1 available),https://books.toscrape.com/catalogue/skip-beat-vol-01-skip-beat-1_55/index.html
"Saga, Volume 1 (Saga (Collected Editions) #1)",['Frank Herbert'],Â£28.48,In stock,One,Sequential Art,In stock (1 available),https://books.toscrape.com/catalogue/saga-volume-1-saga-collected-editions-1_48/index.html
